Tipo,Nombre,Direccion,Horario,Distancia aprox a casa,Modo sugerido,Google Maps
Supermercado,Super Parque del Plata,"Av. Mario Ferreira entre calles 9 y 10, Parque del Plata",Todos los días 8:00–21:30,"≈ 0,9 km",Caminando / bici,https://www.google.com/maps/search/?api=1&query=Super+Parque+del+Plata+Mario+Ferreira+entre+9+y+10+Parque+del+Plata
Supermercado,Super Rodi,"Calle 9 entre B y C, Parque del Plata",Todos los días 8:00–22:00 aprox.,"≈ 1,0–1,2 km",Caminando si no hay carga / bici,https://www.google.com/maps/search/?api=1&query=Super+Rodi+Calle+9+entre+B+y+C+Parque+del+Plata
Supermercado,Red Expres / La Cueva,"Parque del Plata — dirección exacta a confirmar en Maps",Horario a confirmar,"≈ 1,0–1,5 km",Caminando si no hay carga / bici,https://www.google.com/maps/search/?api=1&query=Red+Expres+La+Cueva+Parque+del+Plata
Carnicería,Carnicería Punto Criollo,"Av. Mario Ferreira esq. Calle 10, Parque del Plata",Horario a confirmar,"≈ 1,0 km",Caminando / bici,https://www.google.com/maps/search/?api=1&query=Carniceria+Punto+Criollo+Mario+Ferreira+esquina+Calle+10+Parque+del+Plata
Almacén,Almacén 24 horas,"C. Auxiliar / zona Calle 12, Parque del Plata",Horario extendido / 24 h según Maps-Waze; confirmar,"≈ 1,6–2,0 km",Bici / auto,https://www.google.com/maps/search/?api=1&query=Almacen+24+horas+Calle+Auxiliar+Calle+12+Parque+del+Plata
Supermercado,Super Parada 20,"Ruta Interbalnearia esq. Calle 20, Parque del Plata",8:30–22:00; miércoles cerrado,"≈ 2,5–3,0 km",Auto,https://www.google.com/maps/search/?api=1&query=Super+Parada+20+Ruta+Interbalnearia+esquina+Calle+20+Parque+del+Plata
Supermercado,Expres La Floresta,"La Floresta — dirección exacta a confirmar en Maps",Horario a confirmar,"≈ 4,5–5,5 km",Auto,https://www.google.com/maps/search/?api=1&query=Expres+La+Floresta+supermercado
Supermercado,Supermercado Bachino,"La Floresta — visto en Maps, validar horario",Horario a confirmar,"≈ 4,5–5,5 km",Auto,https://www.google.com/maps/search/?api=1&query=Supermercado+Bachino+La+Floresta
Farmacia,Farmacias en Parque del Plata,"Búsqueda viva en Google Maps: farmacias cerca de Parque del Plata",Confirmar en Maps,"zona cercana",Caminando / bici / auto según resultado,https://www.google.com/maps/search/?api=1&query=farmacias+cerca+de+Parque+del+Plata+Canelones
Farmacia,Farmacias cerca de la zona de la comisaría,"Búsqueda viva en Google Maps: farmacias cerca de Comisaría Parque del Plata",Confirmar en Maps,"zona de referencia",Caminando / bici / auto según resultado,https://www.google.com/maps/search/?api=1&query=farmacias+cerca+de+Comisaria+Parque+del+Plata
Farmacia,Farmacias de turno / guardia,"Búsqueda viva para urgencias: farmacia de turno Parque del Plata",Confirmar antes de salir,"variable",Auto recomendado,https://www.google.com/maps/search/?api=1&query=farmacia+de+turno+Parque+del+Plata+Canelones
Farmacia,Farmacias Atlántida / Las Toscas,"Búsqueda viva ampliada para conseguir opción abierta cerca",Confirmar en Maps,"≈ 4–8 km según resultado",Auto,https://www.google.com/maps/search/?api=1&query=farmacias+Atlantida+Las+Toscas+Parque+del+Plata
